,Channel,B,T,Isotope,G,sigma
188,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.001,0.001,H,2.22605603917324E-16,0.0122604390914311
189,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.001,0.001,T,9.56100403808779E-15,0.526591000401940
190,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.0014677992676220700,0.001,H,2.2711968103149E-16,0.0125090607188219
191,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.0014677992676220700,0.001,T,9.77008604413133E-15,0.538106600885938
192,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.0021544346900318800,0.001,H,2.33875687232506E-16,0.0128811609762784
193,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.0021544346900318800,0.001,T,1.00838332296276E-14,0.555386840871781
194,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.0031622776601683800,0.001,H,2.44089661610848E-16,0.0134437155954945
195,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.0031622776601683800,0.001,T,1.05595067673287E-14,0.581585491461707
196,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.004641588833612780,0.001,H,2.59665739982596E-16,0.0143015985813654
197,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.004641588833612780,0.001,T,1.12876991216365E-14,0.621692109847439
198,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.006812920690579610,0.001,H,2.83302087573379E-16,0.0156034166617778
199,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.006812920690579610,0.001,T,1.24079133932175E-14,0.683390102190755
200,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.01,0.001,H,3.19070984163952E-16,0.0175734586117517
201,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.01,0.001,T,1.41865503306924E-14,0.781352010848631
202,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.01467799267622070,0.001,H,3.75364159623661E-16,0.0206739153695400
203,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.01467799267622070,0.001,T,1.70474488820396E-14,0.938921594984453
204,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.021544346900318800,0.001,H,4.6119807478329E-16,0.0254013861531800
205,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.021544346900318800,0.001,T,2.17510866293603E-14,1.19798364506024
206,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.03162277660168380,0.001,H,5.8784210795323E-16,0.0323765540180012
207,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.03162277660168380,0.001,T,2.94806290313199E-14,1.62370331319158
208,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.046415888336127800,0.001,H,7.6039080030004E-16,0.0418800107845695
209,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.046415888336127800,0.001,T,4.1958089811763E-14,2.31092387378070
210,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.06812920690579610,0.001,H,9.70700659077916E-16,0.0534632376598070
211,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.06812920690579610,0.001,T,6.13520294070565E-14,3.37908303494584
212,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.1,0.001,H,1.20592482499576E-15,0.0664186687375420
213,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.1,0.001,T,9.0634233180047E-14,4.99185768888025
214,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.1467799267622070,0.001,H,1.46130955258711E-15,0.0804844821870464
215,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.1467799267622070,0.001,T,1.34641621777652E-13,7.41565070207978
216,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.21544346900318800,0.001,H,1.73975078410178E-15,0.0958201776927024
