,Channel,B,T,Isotope,G,sigma
0,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.001,0.001,H,1.84076063298242e-16,0.0101383492712821
1,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.001,0.001,T,8.90726393608292e-15,0.849718120235877
2,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.0014677992676220691,0.001,H,1.87812849922899e-16,0.0103441601044464
3,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.0014677992676220691,0.001,T,9.10243736421621e-15,0.868336901453485
4,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.0021544346900318843,0.001,H,1.93393467872442e-16,0.0106515235546870
5,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.0021544346900318843,0.001,T,9.39520990507012e-15,0.896266256062961
6,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.0031622776601683794,0.001,H,2.01802709480213e-16,0.0111146789861895
7,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.0031622776601683794,0.001,T,9.83870109287880e-15,0.938573579742840
8,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.004641588833612777,0.001,H,2.14582517366095e-16,0.0118185519050547
9,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.004641588833612777,0.001,T,1.05174295967992e-14,1.00332162276034
10,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.006812920690579608,0.001,H,2.34042983930254e-16,0.0128903751691686
11,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.006812920690579608,0.001,T,1.15631045644477e-14,1.10307492234413
12,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.01,0.001,H,2.63601627979032e-16,0.0145183753120578
13,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.01,0.001,T,1.32221511591458e-14,1.26134147467115
14,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.01467799267622069,0.001,H,3.09847885000426e-16,0.0170654783833176
15,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.01467799267622069,0.001,T,1.58924326570593e-14,1.51607587921890
16,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.021544346900318832,0.001,H,3.80445141313059e-16,0.0209537603753768
17,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.021544346900318832,0.001,T,2.02829846565967e-14,1.93491735720989
18,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.03162277660168379,0.001,H,4.84359242554512e-16,0.0266770327754948
19,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.03162277660168379,0.001,T,2.75060669529468e-14,2.62397114019038
20,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.046415888336127774,0.001,H,6.25607412451287e-16,0.0344565520388045
21,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.046415888336127774,0.001,T,3.91706687980737e-14,3.73672850589385
22,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.06812920690579612,0.001,H,7.97183806246564e-16,0.0439064575606604
23,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.06812920690579612,0.001,T,5.73229382532089e-14,5.46838397160307
24,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.1,0.001,H,9.88087370207078e-16,0.0544208447867083
