,Channel,B,T,Isotope,G,sigma
0,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.001,0.001,H,2.22750348376353e-16,0.0122684111756577
1,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.001,0.001,T,9.89877394714885e-15,0.944304294940441
2,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.0014677992676220691,0.001,H,2.27267315301827e-16,0.0125171919650593
3,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.0014677992676220691,0.001,T,1.01158644618835e-14,0.965013880445607
4,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.0021544346900318843,0.001,H,2.34018937308448e-16,0.0128890507544332
5,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.0021544346900318843,0.001,T,1.04409959695049e-14,0.996030153845378
6,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.0031622776601683794,0.001,H,2.44234188906385e-16,0.0134516757190171
7,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.0031622776601683794,0.001,T,1.09343867434561e-14,1.04309770275736
8,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.004641588833612777,0.001,H,2.59828631255245e-16,0.0143105701368505
9,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.004641588833612777,0.001,T,1.16888778660629e-14,1.11507320309468
10,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.006812920690579608,0.001,H,2.83481190620667e-16,0.0156132811124642
11,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.006812920690579608,0.001,T,1.28511985837944e-14,1.22595405073423
12,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.01,0.001,H,3.19279811288130e-16,0.0175849601741184
13,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.01,0.001,T,1.46969411503650e-14,1.40203066812875
14,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.01467799267622069,0.001,H,3.75588836314952e-16,0.0206862898778199
15,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.01467799267622069,0.001,T,1.76671431604393e-14,1.68537631577451
16,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.021544346900318832,0.001,H,4.61494598522698e-16,0.0254177177781804
17,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.021544346900318832,0.001,T,2.25505974117258e-14,2.15123873957127
18,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.03162277660168379,0.001,H,5.88204082220080e-16,0.0323964904588332
19,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.03162277660168379,0.001,T,3.05825296640783e-14,2.91745364285752
20,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.046415888336127774,0.001,H,7.61022024897035e-16,0.0419147767140353
21,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.046415888336127774,0.001,T,4.35643577516277e-14,4.15586923702131
22,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.06812920690579612,0.001,H,9.71308162322762e-16,0.0534966970894000
23,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.06812920690579612,0.001,T,6.37858940959250e-14,6.08492466572056
24,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.1,0.001,H,1.20719255717249e-15,0.0664884915670818
25,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.1,0.001,T,9.43700965658099e-14,9.00253788770537
26,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.1467799267622069,0.001,H,1.46282561377200e-15,0.0805679822224863
27,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.1467799267622069,0.001,T,1.40419770647756e-13,13.3954965761613
28,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.21544346900318823,0.001,H,1.74203314696267e-15,0.0959458832919687
29,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.21544346900318823,0.001,T,2.10123757589867e-13,20.0449841384939
30,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.31622776601683794,0.001,H,2.05199971390075e-15,0.113017898315165
31,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.31622776601683794,0.001,T,3.14531335147700e-13,30.0050584303800
32,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.46415888336127775,0.001,H,2.39743434582519e-15,0.132043386399254
33,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.46415888336127775,0.001,T,4.60492050256208e-13,43.9291394231823
34,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.6812920690579608,0.001,H,2.77253802630077e-15,0.152702955370171
35,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.6812920690579608,0.001,T,6.24217105385027e-13,59.5478689318035
36,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",1.0,0.001,H,3.15879677986733e-15,0.173976911812856
37,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",1.0,0.001,T,7.12915786525261e-13,68.0093759834319
38,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",1.467799267622069,0.001,H,3.51216561401374e-15,0.193439391605014
39,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",1.467799267622069,0.001,T,6.50998823803592e-13,62.1027400566079
40,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",2.154434690031882,0.001,H,3.74645364750991e-15,0.206343263358386
41,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",2.154434690031882,0.001,T,5.31891960284864e-13,50.7404114108451
42,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",3.1622776601683795,0.001,H,3.74708014471198e-15,0.206377768917328
43,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",3.1622776601683795,0.001,T,4.60414346138168e-13,43.9217267544223
44,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",4.6415888336127775,0.001,H,3.44239669714522e-15,0.189596732028217
45,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",4.6415888336127775,0.001,T,4.02381655094374e-13,38.3856351442699
46,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",6.812920690579608,0.001,H,2.92457790745000e-15,0.161076849241193
47,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",6.812920690579608,0.001,T,3.06205935088318e-13,29.2108478468121
48,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",10.0,0.001,H,2.38459715045581e-15,0.131336352752475
49,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",10.0,0.001,T,2.13616071019336e-13,20.3781371722265
50,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.001,0.001,H,3.03461843236214e-16,0.0167137546409336
51,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.001,0.001,T,8.92032299884122e-15,0.850963903715367
52,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.0014677992676220691,0.001,H,3.04580028516839e-16,0.0167753408826309
53,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.0014677992676220691,0.001,T,8.99740525633179e-15,0.858317249412590
54,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.0021544346900318843,0.001,H,3.06054530768791e-16,0.0168565519785428
55,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.0021544346900318843,0.001,T,9.11347623320617e-15,0.869389966353659
56,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.0031622776601683794,0.001,H,3.08087727572687e-16,0.0169685342698076
57,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.0031622776601683794,0.001,T,9.27726614095755e-15,0.885014882548667
